Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, Sibiu, Anul 2012, Mii hectare, 196.7
Total, Sibiu, Anul 2013, Mii hectare, 197.7
Total, Sibiu, Anul 2014, Mii hectare, 198.5
Total, Sibiu, Anul 2015, Mii hectare, 198.9
Total, Sibiu, Anul 2016, Mii hectare, 198.9
Total, Sibiu, Anul 2017, Mii hectare, 200.1
Total, Sibiu, Anul 2018, Mii hectare, 201.6
Total, Sibiu, Anul 2019, Mii hectare, 201.9
Total, MACROREGIUNEA DOI, Anul 1990, Mii hectare, 1728.5
Total, MACROREGIUNEA DOI, Anul 1991, Mii hectare, 1725.3
Total, MACROREGIUNEA DOI, Anul 1992, Mii hectare, 1725.1
Total, MACROREGIUNEA DOI, Anul 1993, Mii hectare, 1725.4
Total, MACROREGIUNEA DOI, Anul 1994, Mii hectare, 1729.1
Total, MACROREGIUNEA DOI, Anul 1995, Mii hectare, 1729
Total, MACROREGIUNEA DOI, Anul 1996, Mii hectare, 1726.5
Total, MACROREGIUNEA DOI, Anul 1997, Mii hectare, 1727.3
Total, MACROREGIUNEA DOI, Anul 1998, Mii hectare, 1727.2
Total, MACROREGIUNEA DOI, Anul 1999, Mii hectare, 1726.9
Total, MACROREGIUNEA DOI, Anul 2000, Mii hectare, 1726.3
Total, MACROREGIUNEA DOI, Anul 2001, Mii hectare, 1726
Total, MACROREGIUNEA DOI, Anul 2002, Mii hectare, 1735.4
Total, MACROREGIUNEA DOI, Anul 2003, Mii hectare, 1730.6
Total, MACROREGIUNEA DOI, Anul 2004, Mii hectare, 1742
Total, MACROREGIUNEA DOI, Anul 2005, Mii hectare, 1743.9
Total, MACROREGIUNEA DOI, Anul 2006, Mii hectare, 1731.9
Total, MACROREGIUNEA DOI, Anul 2007, Mii hectare, 1740.3
Total, MACROREGIUNEA DOI, Anul 2008, Mii hectare, 1728.3
Total, MACROREGIUNEA DOI, Anul 2009, Mii hectare, 1741.6
Total, MACROREGIUNEA DOI, Anul 2010, Mii hectare, 1742.9
Total, MACROREGIUNEA DOI, Anul 2011, Mii hectare, 1740.7
Total, MACROREGIUNEA DOI, Anul 2012, Mii hectare, 1743.8
Total, MACROREGIUNEA DOI, Anul 2013, Mii hectare, 1740.6
Total, MACROREGIUNEA DOI, Anul 2014, Mii hectare, 1742.4
Total, MACROREGIUNEA DOI, Anul 2015, Mii hectare, 1747
Total, MACROREGIUNEA DOI, Anul 2016, Mii hectare, 1748.4
Total, MACROREGIUNEA DOI, Anul 2017, Mii hectare, 1749.4
Total, MACROREGIUNEA DOI, Anul 2018, Mii hectare, 1751.7
Total, MACROREGIUNEA DOI, Anul 2019, Mii hectare, 1753.8
Total, Regiunea NORD-EST, Anul 1990, Mii hectare, 1186.6
Total, Regiunea NORD-EST, Anul 1991, Mii hectare, 1185.7
Total, Regiunea NORD-EST, Anul 1992, Mii hectare, 1185.4
Total, Regiunea NORD-EST, Anul 1993, Mii hectare, 1185.4
Total, Regiunea NORD-EST, Anul 1994, Mii hectare, 1186.4
Total, Regiunea NORD-EST, Anul 1995, Mii hectare, 1185.7
Total, Regiunea NORD-EST, Anul 1996, Mii hectare, 1185.2
Total, Regiunea NORD-EST, Anul 1997, Mii hectare, 1185.3
Total, Regiunea NORD-EST, Anul 1998, Mii hectare, 1185.6
Total, Regiunea NORD-EST, Anul 1999, Mii hectare, 1185.3
Total, Regiunea NORD-EST, Anul 2000, Mii hectare, 1184.8
Total, Regiunea NORD-EST, Anul 2001, Mii hectare, 1184.8
Total, Regiunea NORD-EST, Anul 2002, Mii hectare, 1185.2
Total, Regiunea NORD-EST, Anul 2003, Mii hectare, 1188
Total, Regiunea NORD-EST, Anul 2004, Mii hectare, 1190.8
Total, Regiunea NORD-EST, Anul 2005, Mii hectare, 1193.3
Total, Regiunea NORD-EST, Anul 2006, Mii hectare, 1189.1
Total, Regiunea NORD-EST, Anul 2007, Mii hectare, 1188.4
Total, Regiunea NORD-EST, Anul 2008, Mii hectare, 1181.2
Total, Regiunea NORD-EST, Anul 2009, Mii hectare, 1189.8
Total, Regiunea NORD-EST, Anul 2010, Mii hectare, 1190.7
Total, Regiunea NORD-EST, Anul 2011, Mii hectare, 1192
Total, Regiunea NORD-EST, Anul 2012, Mii hectare, 1192.4
Total, Regiunea NORD-EST, Anul 2013, Mii hectare, 1192.5
Total, Regiunea NORD-EST, Anul 2014, Mii hectare, 1194.1
Total, Regiunea NORD-EST, Anul 2015, Mii hectare, 1196.4
Total, Regiunea NORD-EST, Anul 2016, Mii hectare, 1197.4
Total, Regiunea NORD-EST, Anul 2017, Mii hectare, 1198.1
Total, Regiunea NORD-EST, Anul 2018, Mii hectare, 1199.9
Total, Regiunea NORD-EST, Anul 2019, Mii hectare, 1200.3
Total, Bacau, Anul 1990, Mii hectare, 266.7
Total, Bacau, Anul 1991, Mii hectare, 266.3
Total, Bacau, Anul 1992, Mii hectare, 284.3
Total, Bacau, Anul 1993, Mii hectare, 266.7
Total, Bacau, Anul 1994, Mii hectare, 267
Total, Bacau, Anul 1995, Mii hectare, 266.9
Total, Bacau, Anul 1996, Mii hectare, 266.5
Total, Bacau, Anul 1997, Mii hectare, 266.6
Total, Bacau, Anul 1998, Mii hectare, 267
Total, Bacau, Anul 1999, Mii hectare, 266.8
Total, Bacau, Anul 2000, Mii hectare, 266.6
Total, Bacau, Anul 2001, Mii hectare, 266.6
Total, Bacau, Anul 2002, Mii hectare, 266.6
Total, Bacau, Anul 2003, Mii hectare, 269.6
Total, Bacau, Anul 2004, Mii hectare, 271.5
Total, Bacau, Anul 2005, Mii hectare, 271.3
Total, Bacau, Anul 2006, Mii hectare, 267.9
Total, Bacau, Anul 2007, Mii hectare, 268.8
Total, Bacau, Anul 2008, Mii hectare, 268.8
Total, Bacau, Anul 2009, Mii hectare, 269.1
Total, Bacau, Anul 2010, Mii hectare, 269.9
Total, Bacau, Anul 2011, Mii hectare, 270.2
Total, Bacau, Anul 2012, Mii hectare, 270.2
Total, Bacau, Anul 2013, Mii hectare, 270.2
Total, Bacau, Anul 2014, Mii hectare, 270.2
Total, Bacau, Anul 2015, Mii hectare, 269.9
Total, Bacau, Anul 2016, Mii hectare, 270.2
Total, Bacau, Anul 2017, Mii hectare, 270.4
Total, Bacau, Anul 2018, Mii hectare, 271.7
Total, Bacau, Anul 2019, Mii hectare, 272.2
Total, Botosani, Anul 1990, Mii hectare, 55.7
Total, Botosani, Anul 1991, Mii hectare, 55.7
Total, Botosani, Anul 1992, Mii hectare, 55.7
Total, Botosani, Anul 1993, Mii hectare, 55.7
Total, Botosani, Anul 1994, Mii hectare, 55.9
Total, Botosani, Anul 1995, Mii hectare, 55.8
Total, Botosani, Anul 1996, Mii hectare, 55.8
Total, Botosani, Anul 1997, Mii hectare, 55.8
Total, Botosani, Anul 1998, Mii hectare, 55.8
Total, Botosani, Anul 1999, Mii hectare, 55.8
Total, Botosani, Anul 2000, Mii hectare, 55.8
Total, Botosani, Anul 2001, Mii hectare, 55.8
Total, Botosani, Anul 2002, Mii hectare, 56
Total, Botosani, Anul 2003, Mii hectare, 56
Total, Botosani, Anul 2004, Mii hectare, 56
Total, Botosani, Anul 2005, Mii hectare, 56.1
Total, Botosani, Anul 2006, Mii hectare, 56.3
Total, Botosani, Anul 2007, Mii hectare, 56.4
Total, Botosani, Anul 2008, Mii hectare, 56.4
Total, Botosani, Anul 2009, Mii hectare, 56.4
Total, Botosani, Anul 2010, Mii hectare, 56.4
Total, Botosani, Anul 2011, Mii hectare, 56.4
Total, Botosani, Anul 2012, Mii hectare, 56.4
Total, Botosani, Anul 2013, Mii hectare, 56.5
Total, Botosani, Anul 2014, Mii hectare, 56.8
Total, Botosani, Anul 2015, Mii hectare, 57
Total, Botosani, Anul 2016, Mii hectare, 57
Total, Botosani, Anul 2017, Mii hectare, 57
Total, Botosani, Anul 2018, Mii hectare, 57
Total, Botosani, Anul 2019, Mii hectare, 57
Total, Iasi, Anul 1990, Mii hectare, 97.2
Total, Iasi, Anul 1991, Mii hectare, 96.8
Total, Iasi, Anul 1992, Mii hectare, 96.6
Total, Iasi, Anul 1993, Mii hectare, 96.6
Total, Iasi, Anul 1994, Mii hectare, 97
Total, Iasi, Anul 1995, Mii hectare, 96.8
Total, Iasi, Anul 1996, Mii hectare, 96.8
Total, Iasi, Anul 1997, Mii hectare, 96.9
Total, Iasi, Anul 1998, Mii hectare, 96.6
Total, Iasi, Anul 1999, Mii hectare, 96.9
Total, Iasi, Anul 2000, Mii hectare, 97.2
Total, Iasi, Anul 2001, Mii hectare, 97.2
Total, Iasi, Anul 2002, Mii hectare, 97.2
Total, Iasi, Anul 2003, Mii hectare, 97.2
Total, Iasi, Anul 2004, Mii hectare, 97.6
Total, Iasi, Anul 2005, Mii hectare, 97.7
Total, Iasi, Anul 2006, Mii hectare, 97.5
Total, Iasi, Anul 2007, Mii hectare, 97.4
Total, Iasi, Anul 2008, Mii hectare, 97.8
Total, Iasi, Anul 2009, Mii hectare, 97.6
Total, Iasi, Anul 2010, Mii hectare, 97.6
Total, Iasi, Anul 2011, Mii hectare, 97.7
Total, Iasi, Anul 2012, Mii hectare, 97.6
Total, Iasi, Anul 2013, Mii hectare, 97.7
Total, Iasi, Anul 2014, Mii hectare, 97.6
Total, Iasi, Anul 2015, Mii hectare, 97.8
Total, Iasi, Anul 2016, Mii hectare, 97.8
Total, Iasi, Anul 2017, Mii hectare, 97.9
Total, Iasi, Anul 2018, Mii hectare, 98
Total, Iasi, Anul 2019, Mii hectare, 98
Total, Neamt, Anul 1990, Mii hectare, 260.4
Total, Neamt, Anul 1991, Mii hectare, 260.6
Total, Neamt, Anul 1992, Mii hectare, 242.8
Total, Neamt, Anul 1993, Mii hectare, 260.5
Total, Neamt, Anul 1994, Mii hectare, 260.5
Total, Neamt, Anul 1995, Mii hectare, 260.5
Total, Neamt, Anul 1996, Mii hectare, 260.4
Total, Neamt, Anul 1997, Mii hectare, 260.4
Total, Neamt, Anul 1998, Mii hectare, 260.1
Total, Neamt, Anul 1999, Mii hectare, 260
Total, Neamt, Anul 2000, Mii hectare, 259.9
Total, Neamt, Anul 2001, Mii hectare, 259.8
Total, Neamt, Anul 2002, Mii hectare, 260.1
Total, Neamt, Anul 2003, Mii hectare, 259.2
Total, Neamt, Anul 2004, Mii hectare, 259
Total, Neamt, Anul 2005, Mii hectare, 261.3
Total, Neamt, Anul 2006, Mii hectare, 258.5
Total, Neamt, Anul 2007, Mii hectare, 258.4
Total, Neamt, Anul 2008, Mii hectare, 259
Total, Neamt, Anul 2009, Mii hectare, 258.9
Total, Neamt, Anul 2010, Mii hectare, 259
Total, Neamt, Anul 2011, Mii hectare, 259
Total, Neamt, Anul 2012, Mii hectare, 259.3
Total, Neamt, Anul 2013, Mii hectare, 259.2
Total, Neamt, Anul 2014, Mii hectare, 260.1
Total, Neamt, Anul 2015, Mii hectare, 261.8
Total, Neamt, Anul 2016, Mii hectare, 262
Total, Neamt, Anul 2017, Mii hectare, 262.2
Total, Neamt, Anul 2018, Mii hectare, 262.4
Total, Neamt, Anul 2019, Mii hectare, 262.5
Total, Suceava, Anul 1990, Mii hectare, 436.1
Total, Suceava, Anul 1991, Mii hectare, 435.8
Total, Suceava, Anul 1992, Mii hectare, 435.6
Total, Suceava, Anul 1993, Mii hectare, 435.6
Total, Suceava, Anul 1994, Mii hectare, 435.5
Total, Suceava, Anul 1995, Mii hectare, 435.2
Total, Suceava, Anul 1996, Mii hectare, 435.2
Total, Suceava, Anul 1997, Mii hectare, 435.1
Total, Suceava, Anul 1998, Mii hectare, 435.3
Total, Suceava, Anul 1999, Mii hectare, 435.3
Total, Suceava, Anul 2000, Mii hectare, 434.8
Total, Suceava, Anul 2001, Mii hectare, 434.8
Total, Suceava, Anul 2002, Mii hectare, 434.9
Total, Suceava, Anul 2003, Mii hectare, 435.1
Total, Suceava, Anul 2004, Mii hectare, 435.1
Total, Suceava, Anul 2005, Mii hectare, 435
Total, Suceava, Anul 2006, Mii hectare, 435
Total, Suceava, Anul 2007, Mii hectare, 435
Total, Suceava, Anul 2008, Mii hectare, 435.2
Total, Suceava, Anul 2009, Mii hectare, 435.3
Total, Suceava, Anul 2010, Mii hectare, 435.3
Total, Suceava, Anul 2011, Mii hectare, 436.1
Total, Suceava, Anul 2012, Mii hectare, 436.4
Total, Suceava, Anul 2013, Mii hectare, 436.7
Total, Suceava, Anul 2014, Mii hectare, 437.1
Total, Suceava, Anul 2015, Mii hectare, 437.5
Total, Suceava, Anul 2016, Mii hectare, 437.8
Total, Suceava, Anul 2017, Mii hectare, 437.8
Total, Suceava, Anul 2018, Mii hectare, 437.8
Total, Suceava, Anul 2019, Mii hectare, 437.9
Total, Vaslui, Anul 1990, Mii hectare, 70.5
Total, Vaslui, Anul 1991, Mii hectare, 70.5
Total, Vaslui, Anul 1992, Mii hectare, 70.4
Total, Vaslui, Anul 1993, Mii hectare, 70.3
Total, Vaslui, Anul 1994, Mii hectare, 70.5
Total, Vaslui, Anul 1995, Mii hectare, 70.5
Total, Vaslui, Anul 1996, Mii hectare, 70.5
Total, Vaslui, Anul 1997, Mii hectare, 70.5
Total, Vaslui, Anul 1998, Mii hectare, 70.8
Total, Vaslui, Anul 1999, Mii hectare, 70.5
Total, Vaslui, Anul 2000, Mii hectare, 70.5
Total, Vaslui, Anul 2001, Mii hectare, 70.6
Total, Vaslui, Anul 2002, Mii hectare, 70.4
Total, Vaslui, Anul 2003, Mii hectare, 70.9
Total, Vaslui, Anul 2004, Mii hectare, 71.6
Total, Vaslui, Anul 2005, Mii hectare, 71.9
Total, Vaslui, Anul 2006, Mii hectare, 73.9
Total, Vaslui, Anul 2007, Mii hectare, 72.4
Total, Vaslui, Anul 2008, Mii hectare, 64
Total, Vaslui, Anul 2009, Mii hectare, 72.5
Total, Vaslui, Anul 2010, Mii hectare, 72.5
Total, Vaslui, Anul 2011, Mii hectare, 72.6
Total, Vaslui, Anul 2012, Mii hectare, 72.5
Total, Vaslui, Anul 2013, Mii hectare, 72.2
Total, Vaslui, Anul 2014, Mii hectare, 72.3
Total, Vaslui, Anul 2015, Mii hectare, 72.4
Total, Vaslui, Anul 2016, Mii hectare, 72.6
Total, Vaslui, Anul 2017, Mii hectare, 72.8
Total, Vaslui, Anul 2018, Mii hectare, 73
Total, Vaslui, Anul 2019, Mii hectare, 72.7
Total, Regiunea SUD-EST, Anul 1990, Mii hectare, 541.9
Total, Regiunea SUD-EST, Anul 1991, Mii hectare, 539.6
Total, Regiunea SUD-EST, Anul 1992, Mii hectare, 539.7
Total, Regiunea SUD-EST, Anul 1993, Mii hectare, 540
Total, Regiunea SUD-EST, Anul 1994, Mii hectare, 542.7
Total, Regiunea SUD-EST, Anul 1995, Mii hectare, 543.3
Total, Regiunea SUD-EST, Anul 1996, Mii hectare, 541.3
Total, Regiunea SUD-EST, Anul 1997, Mii hectare, 542
Total, Regiunea SUD-EST, Anul 1998, Mii hectare, 541.6
Total, Regiunea SUD-EST, Anul 1999, Mii hectare, 541.6
Total, Regiunea SUD-EST, Anul 2000, Mii hectare, 541.5
Total, Regiunea SUD-EST, Anul 2001, Mii hectare, 541.2
Total, Regiunea SUD-EST, Anul 2002, Mii hectare, 550.2
Total, Regiunea SUD-EST, Anul 2003, Mii hectare, 542.6
Total, Regiunea SUD-EST, Anul 2004, Mii hectare, 551.2
Total, Regiunea SUD-EST, Anul 2005, Mii hectare, 550.6
Total, Regiunea SUD-EST, Anul 2006, Mii hectare, 542.8
Total, Regiunea SUD-EST, Anul 2007, Mii hectare, 551.9
Total, Regiunea SUD-EST, Anul 2008, Mii hectare, 547.1
Total, Regiunea SUD-EST, Anul 2009, Mii hectare, 551.8
Total, Regiunea SUD-EST, Anul 2010, Mii hectare, 552.2
Total, Regiunea SUD-EST, Anul 2011, Mii hectare, 548.7
Total, Regiunea SUD-EST, Anul 2012, Mii hectare, 551.4
Total, Regiunea SUD-EST, Anul 2013, Mii hectare, 548.1
Total, Regiunea SUD-EST, Anul 2014, Mii hectare, 548.3
Total, Regiunea SUD-EST, Anul 2015, Mii hectare, 550.6
Total, Regiunea SUD-EST, Anul 2016, Mii hectare, 551
Total, Regiunea SUD-EST, Anul 2017, Mii hectare, 551.3
Total, Regiunea SUD-EST, Anul 2018, Mii hectare, 551.8
Total, Regiunea SUD-EST, Anul 2019, Mii hectare, 553.5
Total, Braila, Anul 1990, Mii hectare, 24.2
Total, Braila, Anul 1991, Mii hectare, 24.2
Total, Braila, Anul 1992, Mii hectare, 24.2
Total, Braila, Anul 1993, Mii hectare, 24.2
Total, Braila, Anul 1994, Mii hectare, 25.7
Total, Braila, Anul 1995, Mii hectare, 25.5
Total, Braila, Anul 1996, Mii hectare, 25.9
Total, Braila, Anul 1997, Mii hectare, 25.9
Total, Braila, Anul 1998, Mii hectare, 25.9
Total, Braila, Anul 1999, Mii hectare, 25.9
Total, Braila, Anul 2000, Mii hectare, 25.8
Total, Braila, Anul 2001, Mii hectare, 25.5
Total, Braila, Anul 2002, Mii hectare, 26
Total, Braila, Anul 2003, Mii hectare, 25.9
Total, Braila, Anul 2004, Mii hectare, 27.2
Total, Braila, Anul 2005, Mii hectare, 27.2
Total, Braila, Anul 2006, Mii hectare, 27.1
Total, Braila, Anul 2007, Mii hectare, 26.9
Total, Braila, Anul 2008, Mii hectare, 24.9
Total, Braila, Anul 2009, Mii hectare, 27.3
Total, Braila, Anul 2010, Mii hectare, 27.2
Total, Braila, Anul 2011, Mii hectare, 27.2
Total, Braila, Anul 2012, Mii hectare, 27.9
Total, Braila, Anul 2013, Mii hectare, 27.9
Total, Braila, Anul 2014, Mii hectare, 27.9
Total, Braila, Anul 2015, Mii hectare, 28
Total, Braila, Anul 2016, Mii hectare, 28
Total, Braila, Anul 2017, Mii hectare, 28.1
Total, Braila, Anul 2018, Mii hectare, 28.1
Total, Braila, Anul 2019, Mii hectare, 28.1
Total, Buzau, Anul 1990, Mii hectare, 158.4
Total, Buzau, Anul 1991, Mii hectare, 158.2
Total, Buzau, Anul 1992, Mii hectare, 158.2
Total, Buzau, Anul 1993, Mii hectare, 158.9
Total, Buzau, Anul 1994, Mii hectare, 159.7
Total, Buzau, Anul 1995, Mii hectare, 158.8
Total, Buzau, Anul 1996, Mii hectare, 158.4
Total, Buzau, Anul 1997, Mii hectare, 158.3
Total, Buzau, Anul 1998, Mii hectare, 158.3
Total, Buzau, Anul 1999, Mii hectare, 158.2
Total, Buzau, Anul 2000, Mii hectare, 158.2
Total, Buzau, Anul 2001, Mii hectare, 158
Total, Buzau, Anul 2002, Mii hectare, 157.6
Total, Buzau, Anul 2003, Mii hectare, 157.8
Total, Buzau, Anul 2004, Mii hectare, 158
Total, Buzau, Anul 2005, Mii hectare, 158.3
Total, Buzau, Anul 2006, Mii hectare, 152
Total, Buzau, Anul 2007, Mii hectare, 159.5
Total, Buzau, Anul 2008, Mii hectare, 159.6
Total, Buzau, Anul 2009, Mii hectare, 158.2
Total, Buzau, Anul 2010, Mii hectare, 158.5
Total, Buzau, Anul 2011, Mii hectare, 159.6
Total, Buzau, Anul 2012, Mii hectare, 160.8
Total, Buzau, Anul 2013, Mii hectare, 160.4
Total, Buzau, Anul 2014, Mii hectare, 160.1
Total, Buzau, Anul 2015, Mii hectare, 160.2
Total, Buzau, Anul 2016, Mii hectare, 160.5
Total, Buzau, Anul 2017, Mii hectare, 160.5
Total, Buzau, Anul 2018, Mii hectare, 160.8
Total, Buzau, Anul 2019, Mii hectare, 160.8
Total, Constanta, Anul 1990, Mii hectare, 37.6
Total, Constanta, Anul 1991, Mii hectare, 35.5
Total, Constanta, Anul 1992, Mii hectare, 35.5
Total, Constanta, Anul 1993, Mii hectare, 35.5
Total, Constanta, Anul 1994, Mii hectare, 35.5
Total, Constanta, Anul 1995, Mii hectare, 35.5
Total, Constanta, Anul 1996, Mii hectare, 35.5
Total, Constanta, Anul 1997, Mii hectare, 35.5
Total, Constanta, Anul 1998, Mii hectare, 35.2
Total, Constanta, Anul 1999, Mii hectare, 35.3
Total, Constanta, Anul 2000, Mii hectare, 35.4
Total, Constanta, Anul 2001, Mii hectare, 35.4
Total, Constanta, Anul 2002, Mii hectare, 35.4
Total, Constanta, Anul 2003, Mii hectare, 35.4
Total, Constanta, Anul 2004, Mii hectare, 39.9
Total, Constanta, Anul 2005, Mii hectare, 39.9
Total, Constanta, Anul 2006, Mii hectare, 39
Total, Constanta, Anul 2007, Mii hectare, 39
Total, Constanta, Anul 2008, Mii hectare, 39
Total, Constanta, Anul 2009, Mii hectare, 38.9
Total, Constanta, Anul 2010, Mii hectare, 39
Total, Constanta, Anul 2011, Mii hectare, 39
Total, Constanta, Anul 2012, Mii hectare, 38.9
Total, Constanta, Anul 2013, Mii hectare, 38.9
Total, Constanta, Anul 2014, Mii hectare, 39
Total, Constanta, Anul 2015, Mii hectare, 39.1
Total, Constanta, Anul 2016, Mii hectare, 39.2
Total, Constanta, Anul 2017, Mii hectare, 39.4
Total, Constanta, Anul 2018, Mii hectare, 39.4
Total, Constanta, Anul 2019, Mii hectare, 39.5
Total, Galati, Anul 1990, Mii hectare, 36.5
Total, Galati, Anul 1991, Mii hectare, 36.5
Total, Galati, Anul 1992, Mii hectare, 36.5
Total, Galati, Anul 1993, Mii hectare, 36.5
Total, Galati, Anul 1994, Mii hectare, 36.6
Total, Galati, Anul 1995, Mii hectare, 36.4
Total, Galati, Anul 1996, Mii hectare, 36.4
Total, Galati, Anul 1997, Mii hectare, 36.2
Total, Galati, Anul 1998, Mii hectare, 36.3
Total, Galati, Anul 1999, Mii hectare, 36.3
Total, Galati, Anul 2000, Mii hectare, 36.3
Total, Galati, Anul 2001, Mii hectare, 36.3
Total, Galati, Anul 2002, Mii hectare, 36.5
Total, Galati, Anul 2003, Mii hectare, 36.5
Total, Galati, Anul 2004, Mii hectare, 37
Total, Galati, Anul 2005, Mii hectare, 36.9
Total, Galati, Anul 2006, Mii hectare, 36.3
Total, Galati, Anul 2007, Mii hectare, 37.1
Total, Galati, Anul 2008, Mii hectare, 37.7
Total, Galati, Anul 2009, Mii hectare, 37.7
Total, Galati, Anul 2010, Mii hectare, 37.7
Total, Galati, Anul 2011, Mii hectare, 37.6
Total, Galati, Anul 2012, Mii hectare, 37.7
Total, Galati, Anul 2013, Mii hectare, 37.1
Total, Galati, Anul 2014, Mii hectare, 37.2
Total, Galati, Anul 2015, Mii hectare, 37.2
Total, Galati, Anul 2016, Mii hectare, 37.2
Total, Galati, Anul 2017, Mii hectare, 37.1
Total, Galati, Anul 2018, Mii hectare, 37.2
Total, Galati, Anul 2019, Mii hectare, 37.1
Total, Tulcea, Anul 1990, Mii hectare, 101.8
Total, Tulcea, Anul 1991, Mii hectare, 102
Total, Tulcea, Anul 1992, Mii hectare, 102
Total, Tulcea, Anul 1993, Mii hectare, 101.8
Total, Tulcea, Anul 1994, Mii hectare, 102.1
Total, Tulcea, Anul 1995, Mii hectare, 101.6
Total, Tulcea, Anul 1996, Mii hectare, 101.6
Total, Tulcea, Anul 1997, Mii hectare, 102.2
Total, Tulcea, Anul 1998, Mii hectare, 102.2
Total, Tulcea, Anul 1999, Mii hectare, 102.2
Total, Tulcea, Anul 2000, Mii hectare, 102.2
Total, Tulcea, Anul 2001, Mii hectare, 102.2
Total, Tulcea, Anul 2002, Mii hectare, 103
Total, Tulcea, Anul 2003, Mii hectare, 103
Total, Tulcea, Anul 2004, Mii hectare, 103.3
Total, Tulcea, Anul 2005, Mii hectare, 103.8
Total, Tulcea, Anul 2006, Mii hectare, 104.2
Total, Tulcea, Anul 2007, Mii hectare, 104.2
Total, Tulcea, Anul 2008, Mii hectare, 104.2
Total, Tulcea, Anul 2009, Mii hectare, 104.5
Total, Tulcea, Anul 2010, Mii hectare, 104.6
Total, Tulcea, Anul 2011, Mii hectare, 104.6
Total, Tulcea, Anul 2012, Mii hectare, 104.6
Total, Tulcea, Anul 2013, Mii hectare, 104.6
Total, Tulcea, Anul 2014, Mii hectare, 104.8
Total, Tulcea, Anul 2015, Mii hectare, 104.9
Total, Tulcea, Anul 2016, Mii hectare, 105
Total, Tulcea, Anul 2017, Mii hectare, 104.9
Total, Tulcea, Anul 2018, Mii hectare, 105
Total, Tulcea, Anul 2019, Mii hectare, 105
Total, Vrancea, Anul 1990, Mii hectare, 183.4
Total, Vrancea, Anul 1991, Mii hectare, 183.2
Total, Vrancea, Anul 1992, Mii hectare, 183.3
Total, Vrancea, Anul 1993, Mii hectare, 183.1
Total, Vrancea, Anul 1994, Mii hectare, 183.1
Total, Vrancea, Anul 1995, Mii hectare, 185.5
Total, Vrancea, Anul 1996, Mii hectare, 183.5
Total, Vrancea, Anul 1997, Mii hectare, 183.9
Total, Vrancea, Anul 1998, Mii hectare, 183.7
Total, Vrancea, Anul 1999, Mii hectare, 183.7
Total, Vrancea, Anul 2000, Mii hectare, 183.6
Total, Vrancea, Anul 2001, Mii hectare, 183.8
Total, Vrancea, Anul 2002, Mii hectare, 191.7
Total, Vrancea, Anul 2003, Mii hectare, 184
Total, Vrancea, Anul 2004, Mii hectare, 185.8
Total, Vrancea, Anul 2005, Mii hectare, 184.5
Total, Vrancea, Anul 2006, Mii hectare, 184.2
Total, Vrancea, Anul 2007, Mii hectare, 185.2
Total, Vrancea, Anul 2008, Mii hectare, 181.7
Total, Vrancea, Anul 2009, Mii hectare, 185.2
Total, Vrancea, Anul 2010, Mii hectare, 185.2
Total, Vrancea, Anul 2011, Mii hectare, 180.7
Total, Vrancea, Anul 2012, Mii hectare, 181.5
Total, Vrancea, Anul 2013, Mii hectare, 179.2
Total, Vrancea, Anul 2014, Mii hectare, 179.3
Total, Vrancea, Anul 2015, Mii hectare, 181.2
Total, Vrancea, Anul 2016, Mii hectare, 181.1
Total, Vrancea, Anul 2017, Mii hectare, 181.3
Total, Vrancea, Anul 2018, Mii hectare, 181.3
Total, Vrancea, Anul 2019, Mii hectare, 183
Total, MACROREGIUNEA TREI, Anul 1990, Mii hectare, 687.2
Total, MACROREGIUNEA TREI, Anul 1991, Mii hectare, 686.8
Total, MACROREGIUNEA TREI, Anul 1992, Mii hectare, 686.7
Total, MACROREGIUNEA TREI, Anul 1993, Mii hectare, 686.1
Total, MACROREGIUNEA TREI, Anul 1994, Mii hectare, 685.9
Total, MACROREGIUNEA TREI, Anul 1995, Mii hectare, 687.2
Total, MACROREGIUNEA TREI, Anul 1996, Mii hectare, 687.5
Total, MACROREGIUNEA TREI, Anul 1997, Mii hectare, 686.8
Total, MACROREGIUNEA TREI, Anul 1998, Mii hectare, 686.4
Total, MACROREGIUNEA TREI, Anul 1999, Mii hectare, 686.3
Total, MACROREGIUNEA TREI, Anul 2000, Mii hectare, 685.8
Total, MACROREGIUNEA TREI, Anul 2001, Mii hectare, 686
Total, MACROREGIUNEA TREI, Anul 2002, Mii hectare, 685.8
Total, MACROREGIUNEA TREI, Anul 2003, Mii hectare, 682.4
Total, MACROREGIUNEA TREI, Anul 2004, Mii hectare, 682.6
Total, MACROREGIUNEA TREI, Anul 2005, Mii hectare, 683.7
Total, MACROREGIUNEA TREI, Anul 2006, Mii hectare, 685.6
Total, MACROREGIUNEA TREI, Anul 2007, Mii hectare, 683.8
Total, MACROREGIUNEA TREI, Anul 2008, Mii hectare, 683.7
